key,term,definition,lower_bound,upper_bound,same_as
hellenistic-parthian-middle-east,Hellenistic-Parthian Middle East (330 BC – AD 226) (330 BC - AD 226),"Seleucid-Early Roman-Arsacid Middle East [[-330,226]]",330 BC,AD 226,http://n2t.net/ark:/99152/p03wskddwzm
hellenistic-roman-early-empire,Hellenistic-Roman Early Empire (330 BC – AD 300) (330 BC - AD 300),"Mediterranean [[-330,300]]",330 BC,AD 300,http://n2t.net/ark:/99152/p03wskd825s
hellenistic-central-asia,Hellenistic Central Asia (330-100 BCE) (330 BC - 100 BC),"As defined by Sören Stark [[-330, -100]]",330 BC,100 BC,
ptolemaic-egypt,Ptolemaic Egypt (304-30 BCE/BC) (304 BC - 30 BC),"The Ptolemaic period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-304, -30]]",304 BC,30 BC,http://n2t.net/ark:/99152/p03wskd95m9
ptolemaic-roman-egypt,Ptolemaic-Roman Egypt (304 BC – AD 640) (304 BC - AD 640),"Egypt [[-304,640]]",304 BC,AD 640,http://n2t.net/ark:/99152/p03wskdftkm
third-bce,third century before the common era (300 BC - 201 BC),,300 BC,201 BC,
second-bce,second century before the common era (200 BC - 101 BC),,200 BC,101 BC,
parthian-middle-east,Parthian Middle East (140 BC – AD 226) (140 BC - AD 226),"Arsacid ME [[-140,226]]",140 BC,AD 226,http://n2t.net/ark:/99152/p03wskd93hp
roman-middle-east,Roman Middle East (140 BC – AD 640) (140 BC - AD 640),"ME [[-140, 640]]",140 BC,AD 640,http://n2t.net/ark:/99152/p03wskdhqrw
roman-early-byzantine-middle-east,Roman-Early Byzantine Middle East (140 BC – AD 850) (140 BC - AD 850),"ME [[-140,850]]",140 BC,AD 850,http://n2t.net/ark:/99152/p03wskdpzn9
kangju-yuezhi-kushan-central-asia,Kangju-Yuezhi-Kushan period in Central Asia (100 BCE - 250 CE) (100 BC - AD 250),"Period as defined by Sören Stark [[-100, 250]]",100 BC,AD 250,
first-bce,first century before the common era (100 BC - 1 BC),,100 BC,1 BC,
roman-umayyad-levant,Roman-Umayyad Levant (37 BC – AD 1099) (37 BC - AD 1099),"Roman-Byzantine-Caliphate-Umayyad Levant [[-37,1099]]",37 BC,AD 1099,
roman,"Roman, early Empire (30 BC-AD 300) (30 BC - AD 300)","The Roman period (i.e., the early Roman Empire) in Greek and Roman history. For the purposes of Pleiades, this period is said to begin in the year 30 before the birth of Christ and to end in the year 300 after the birth of Christ. [[-30, 300]]",30 BC,AD 300,http://n2t.net/ark:/99152/p03wskdxnzf
roman-early-empire-parthian-middle-east,Roman Early Empire/Parthian Middle East (30 BC – AD 226) (30 BC - AD 226),"Early Roman/Parthian [[-30, 226]]",30 BC,AD 226,http://n2t.net/ark:/99152/p03wskdxwnh
roman-early-empire-late-antique,Roman Early Empire-Late Antique (30 BC – AD 640) (30 BC - AD 640),"Mediterranean [[-30,640]]",30 BC,AD 640,http://n2t.net/ark:/99152/p03wskd5v96
first-ce,First century of the common era (AD 1 - AD 99),,AD 1,AD 99,
1st-millennium-ce,1st Millennium CE (1-1000 CE) (AD 1 - AD 1000),"The First Millennium CE as defined by https://en.wikipedia.org/wiki/1st_millennium [[1, 1000]",AD 1,AD 1000,
roman-britain,Roman Britain (43 - 410 CE/AD) (AD 43 - AD 410),"Simon Hornblower and Antony Spawforth, eds. (1998). The Oxford Companion to Classical Civilization. Oxford University Press.",AD 43,AD 410,
second-ce,second century of the common era (AD 100 - AD 199),,AD 100,AD 199,
third-ce,third century of the common era (AD 200 - AD 299),,AD 200,AD 299,
parthian,Parthian (200 BCE - 224 CE) (AD 224 - 200 BC),The period of Parthian expansion and hegemony in southwest Asia and beyond,AD 224,200 BC,http://n2t.net/ark:/99152/p08m57hs35q
late-antiquity-in-central-asia,Late Antiquity in Central Asia (250-550 CE) (AD 250 - AD 550),"Period as defined by Sören Stark [[250, 550]]",AD 250,AD 550,
sassanian-middle-east,Sassanian Middle East (AD 262–700) (AD 262 - AD 700),"Sassanid [[262,700]]",AD 262,AD 700,http://n2t.net/ark:/99152/p03wskds845
transition-roman-early-empire-late-antique,Transition Roman Early Empire-Late Antique (AD 284–337) (AD 284 - AD 337),"Mediterranean [[284, 337]]",AD 284,AD 337,http://n2t.net/ark:/99152/p03wskd5v96
late-antique,Late Antique (AD 300-AD 640) (AD 300 - AD 640),"The Late Antique period in Greek and Roman history. For the purposes of Pleiades, this period is said to begin in the year 300 and to end in the year 640 after the birth of Christ. [[300, 640]]",AD 300,AD 640,http://n2t.net/ark:/99152/p03wskd6psm
late-antique-sasanian-middle-east,Late Antique/Sasanian Middle East (AD 300–640) (AD 300 - AD 640),"ME [[300, 640]]",AD 300,AD 640,http://n2t.net/ark:/99152/p03wskd83qf
late-antique-late-byzantine,Late Antique-Late Byzantine (AD 300–1450) (AD 300 - AD 1450),"ME [[300, 1450]]",AD 300,AD 1450,http://n2t.net/ark:/99152/p03wskdpjk3
fourth-ce,fourth century of the common era (AD 300 - AD 399),,AD 300,AD 399,
fifth-ce,fifth century of the common era (AD 400 - AD 499),,AD 400,AD 499,
proto-byzantine,Proto-Byzantine (AD 500–650) (AD 500 - AD 650),"Early Byzantine; includes Justinian I [[500, 650]]",AD 500,AD 650,http://n2t.net/ark:/99152/p03wskdcpjk
sixth-ce,sixth century of the common era (AD 500 - AD 599),,AD 500,AD 599,
anglo-saxon,Anglo-Saxon Period (550-1066 AD/CE) (AD 550 - AD 1066),"[[550, 1066]]",AD 550,AD 1066,
pre-islamic-early-middle-ages-central-asia,Pre-Islamic Early Middle Ages in Central Asia (550-750 CE) (AD 550 - AD 750),"Period as defined by Sören Stark [[550, 750]]",AD 550,AD 750,
persian-medieval-caucasus,Persian-Medieval Caucasus (AD 600–1500) (AD 600 - AD 1500),"Persian—Arabic—Early Medieval—Middle Medieval—Turco-Mongol/Late Medieval Caucasus [[600,1500]]",AD 600,AD 1500,http://n2t.net/ark:/99152/p03wskdvds6
seventh-ce,seventh century of the common era (AD 600 - AD 699),,AD 600,AD 699,
caliphate-umayyad-middle-east,Caliphate-Umayyad Middle East (AD 632–750) (AD 632 - AD 750),"Early Islamic, Rashidun-Umayyad [starts with death of Muhammed who only controlled Arabia] [[632,750]]",AD 632,AD 750,http://n2t.net/ark:/99152/p03wskdj3g6
caliphate-fatimid-southern-levant,Caliphate-Fatimid Southern Levant (AD 632–1150) (AD 632 - AD 1150),"Caliphate/Rashidun-Umayyad-Abassid-Fatimid southern Levant [[632,1150]]",AD 632,AD 1150,
mediaeval-byzantine,Mediaeval/Byzantine (AD 641-AD 1453) (AD 640 - AD 1453),"The Mediaeval period in the West, or the period from the end of Late Antiquity (640) to the fall of Constantinople in the East (1453). [[640, 1453]]",AD 640,AD 1453,http://n2t.net/ark:/99152/p03wskdcdz7
early-byzantine,Early Byzantine (AD 650-850) (AD 650 - AD 850),"Early Byzantine Period in areas where such designations are appropriate. [[650, 850]]",AD 650,AD 850,http://n2t.net/ark:/99152/p03wskdjbp8
ummayad,Ummayad Period (661-750CE) (AD 661 - AD 750),"The period of the Umayyad Caliphate as defined by http://en.wikipedia.org/wiki/Umayyad_Caliphate [[661, 750]]",AD 661,AD 750,http://n2t.net/ark:/99152/p03wskdnnpp
eighth-ce,eighth century of the common era (AD 700 - AD 799),,AD 700,AD 799,
abassid-middle-east,Abassid Middle East (AD 750–940) (AD 750 - AD 940),"ME, northern Africa [[750, 940]]",AD 750,AD 940,http://n2t.net/ark:/99152/p03wskdpxwb
abbasid-period-central-asia,Abbasid Period in Central Asia (750-875 CE) (AD 750 - AD 875),"Period as defined by Sören Stark [[750, 875]]",AD 750,AD 875,
ninth-ce,ninth century of the common era (AD 800 - AD 899),,AD 800,AD 899,
samanid-ghaznavid-iran,Samanid-Ghaznavid Iran (AD 819–1186) (AD 819 - AD 1186),"Iran [[819,1186]]",AD 819,AD 1186,http://n2t.net/ark:/99152/p03wskd4n95
middle-byzantine,Middle Byzantine (AD 850-1200) (AD 850 - AD 1200),"Middle Byzantine period in areas where such designations are appropriate. [[850, 1200]]",AD 850,AD 1200,http://n2t.net/ark:/99152/p03wskd6vvr
early-medieval-caucasus,Early Medieval Caucasus (AD 850–1200) (AD 850 - AD 1200),"Bagratid, Kingdom of Armenia/Kingdom of Georgia [[850,1200]]",AD 850,AD 1200,http://n2t.net/ark:/99152/p03wskd98jh
samanid-period-central-asia,Samanid Period in Central Asia (875-1000 CE) (AD 875 - AD 1000),"Period as defined by Sören Stark [[875, 1000]]",AD 875,AD 1000,
tenth-ce,tenth century of the common era (AD 900 - AD 999),,AD 900,AD 999,
fatimid-middle-east,Fatimid Middle East (AD 950–1150) (AD 950 - AD 1150),"Western ME, northern Africa [[950,1150]]",AD 950,AD 1150,http://n2t.net/ark:/99152/p03wskdtn5z
qarakhanid-period-central-asia,Qarakhanid Period in Central Asia (1000-1200 CE) (AD 1000 - AD 1200),"Period as defined by Sören Stark [[1000, 1200]]",AD 1000,AD 1200,
eleventh-ce,eleventh century of the common era (AD 1000 - AD 1099),,AD 1000,AD 1099,
polonnaruwa,Polonnaruwa (Sri Lanka: 1017-1232 CE) (AD 1017 - AD 1232),"Polonnaruwa period in Sri Lanka per Wikipedia ""History of Sri Lanka""",AD 1017,AD 1232,
seljuq-middle-east,Seljuq Middle East (AD 1037–1150) (AD 1037 - AD 1150),"Great Seljuq Empire [[1037,1150]]",AD 1037,AD 1150,http://n2t.net/ark:/99152/p03wskdqq4g
seljuq-khwarezmian-middle-east,Seljuq-Khwarezmian Middle East (AD 1037–1258) (AD 1037 - AD 1258),"ME [[1037,1258]]",AD 1037,AD 1258,http://n2t.net/ark:/99152/p03wskdj8bb
khwarezmian-middle-east,Khwarezmian Middle East (AD 1077–1258) (AD 1077 - AD 1258),"Khwarezmid [[1077,1258]]",AD 1077,AD 1258,http://n2t.net/ark:/99152/p03wskd2rhh
rum-crusader-anatolia,Rum/Crusader Anatolia (AD 1077–1307) (AD 1077 - AD 1307),"Seljuk-Latin States/Francocracy [[1077, 1307]]",AD 1077,AD 1307,http://n2t.net/ark:/99152/p03wskdrtx9
crusader-byzantine-seljuq-middle-east,Crusader/Byzantine/Seljuq Middle East (AD 1081–1204) (AD 1081 - AD 1204),"Latin/1st-4th Crusades—end of Middle Byzantine—Rum/Seljuq [[1081, 1204]]",AD 1081,AD 1204,http://n2t.net/ark:/99152/p03wskdqq4g
crusader-seljuq-ayyubid-levant,Crusader/Seljuq-Ayyubid Levant (AD 1099–1291) (AD 1099 - AD 1291),"Latin [[1099,1291]]",AD 1099,AD 1291,http://n2t.net/ark:/99152/p03wskdg8s5
crusader-ottoman-levant,Crusader-Ottoman Levant (AD 1099–1750) (AD 1099 - AD 1750),"Crusader-Seljuq-Ayyubid-Mamluk-Ottoman Levant [[1099,1750]]",AD 1099,AD 1750,http://n2t.net/ark:/99152/p03wskd5222
twelfth-ce,twelfth century of the common era (AD 1100 - AD 1199),,AD 1100,AD 1199,
ayyubid-middle-east,Ayyubid Middle East (AD 1171–1258) (AD 1171 - AD 1258),"Western ME [[1171,1258]]",AD 1171,AD 1258,
late-byzantine,Late Byzantine Period (AD 1200-1450) (AD 1200 - AD 1450),"Late Byzantine Period in contexts where such designations are appropriate. [[1200, 1450]]",AD 1200,AD 1450,http://n2t.net/ark:/99152/p03wskdk7x9
13th-century-ad-eastern-mediterranean,13th Century AD Eastern Mediterranean (AD 1200–1300) (AD 1200 - AD 1300),"Late Byzantine-Ayyubid-Mamluk Western Middle East [[1200,1300]]",AD 1200,AD 1300,http://n2t.net/ark:/99152/p03wskdrv58
late-byzantine-ottoman-rise,Late Byzantine/Ottoman Rise (AD 1200–1453) (AD 1200 - AD 1453),"Aegean, Balkan & Anatolia [[1200,1453]]",AD 1200,AD 1453,http://n2t.net/ark:/99152/p03wskdq5md
late-medieval-caucasus,Late Medieval Caucasus (AD 1200–1500) (AD 1200 - AD 1500),"Turco-Mongol, Seljuq-Georgian-Ilkhanate-Turkmen Caucasus [[1200,1500]]",AD 1200,AD 1500,
thirteenth-ce,thirteenth century of the common era (AD 1200 - AD 1299),,AD 1200,AD 1299,
transitional-sri-lanka,Transitional (Sri Lanka: 1232-1597) (AD 1232 - AD 1597),"The ""transitional"" period in Sri Lanka per Wikipedia ""History of Sri Lanka""",AD 1232,AD 1597,
ilkhanate-middle-east,Ilkhanate Middle East (AD 1258–1335) (AD 1258 - AD 1335),"Ilkhanid, Hulagu, Early Mongol [[1258,1335]]",AD 1258,AD 1335,http://n2t.net/ark:/99152/p03wskdk582
mongol-middle-east,Mongol Middle East (AD 1258–1501) (AD 1258 - AD 1501),"ME, Central Asia [[1258,1501]]",AD 1258,AD 1501,http://n2t.net/ark:/99152/p03wskd25c5
mamluk-middle-east,Mamluk Middle East (AD 1258–1516) (AD 1258 - AD 1516),"Western ME [[1258,1516]]",AD 1258,AD 1516,http://n2t.net/ark:/99152/p03wskdp535
ottoman-rise,Ottoman Rise (AD 1300–1453) (AD 1300 - AD 1453),"ends with the conquest of Constantinople [[1300, 1453]]",AD 1300,AD 1453,http://n2t.net/ark:/99152/p03wskd2cfk
ottoman-empire-2,Ottoman Empire (AD ca 1300-1923) (AD 1300 - AD 1923),Period as defined by Elias Kolovos,AD 1300,AD 1923,
fourteenth-ce,fourteenth century of the common era (AD 1300 - AD 1399),,AD 1300,AD 1399,
timurid-middle-east,Timurid Middle East (AD 1370–1501) (AD 1370 - AD 1501),"Eastern ME, Central Asia [[1370,1501]]",AD 1370,AD 1501,http://n2t.net/ark:/99152/p03wskdgpzc
fifteenth-ce,fifteenth century of the common era (AD 1400 - AD 1499),,AD 1400,AD 1499,
early-ottoman-empire,Early Ottoman Empire (AD 1453–1683) (AD 1453 - AD 1683),"ends with the siege of Vienna [[1453,1683]]",AD 1453,AD 1683,http://n2t.net/ark:/99152/p03wskdf7wk
1500-ad-middle-east,1500 AD Middle East (AD 1500–1500) (AD 1500 - AD 1500),"ME, Greece, Indus [[1500,1500]]",AD 1500,AD 1500,http://n2t.net/ark:/99152/p03wskd9h8w
perso-ottoman-russian-caucasus,Perso-Ottoman-Russian Caucasus (AD 1500–1918) (AD 1500 - AD 1918),"Safavid-Qajar-Ottoman Empire-Russian Empire Caucasus [[1500,1918]]",AD 1500,AD 1918,http://n2t.net/ark:/99152/p03wskd7s5r
sixteenth-ce,sixteenth century of the common era (AD 1500 - AD 1599),,AD 1500,AD 1599,
safavid-middle-east,Safavid Middle East (AD 1501–1725) (AD 1501 - AD 1725),"Eastern ME, Central Asia [[1501,1725]]",AD 1501,AD 1725,http://n2t.net/ark:/99152/p03wskdbftw
ottoman-empire,Ottoman Empire (AD 1513–1918) (AD 1513 - AD 1918),"ME, Balkan, Northern Africa [[1513,1918]]",AD 1513,AD 1918,http://n2t.net/ark:/99152/p03wskd97z7
kandy,Kandy period (Sri Lanka: 1597-1815) (AD 1597 - AD 1815),"The Kandy period in Sri Lanka per Wikipedia ""History of Sri Lanka""",AD 1597,AD 1815,
seventeenth-ce,seventeenth century of the common era (AD 1600 - AD 1699),,AD 1600,AD 1699,
late-ottoman-empire,Late Ottoman Empire (AD 1683–1918) (AD 1683 - AD 1918),"ME, Balkan, Northern Africa [[1683,1918]]",AD 1683,AD 1918,http://n2t.net/ark:/99152/p03wskdfbcg
modern,Modern (AD 1700-Present) (AD 1700 - AD 2100),"Our present, modern era. [[1700, 2100]]",AD 1700,AD 2100,http://n2t.net/ark:/99152/p03wskdgh6j
eighteenth-ce,eighteenth century of the common era (AD 1700 - AD 1799),,AD 1700,AD 1799,
khedivate-egypt,Khedivate Egypt (AD 1800–1922) (AD 1800 - AD 1922),"Muhammed Ali-Khedivate Egypt, Alawiyya Egypt, Anglo-Egyptian [[1800,1922]]",AD 1800,AD 1922,http://n2t.net/ark:/99152/p03wskd69hp
colonial-modern-middle-east,Colonial-Modern Middle East (AD 1800–2000) (AD 1800 - AD 2000),"Late Ottoman-Colonial-Mandate Modern Middle east [[1800,2000]]",AD 1800,AD 2000,http://n2t.net/ark:/99152/p03wskdccmk
nineteenth-ce,nineteenth century of the common era (AD 1800 - AD 1899),,AD 1800,AD 1899,
ottoman-decline-mandate-middle-east,Ottoman Decline-Mandate Middle East (AD 1900–1950) (AD 1900 - AD 1950),"ME [[1900,1950]]",AD 1900,AD 1950,http://n2t.net/ark:/99152/p03wskdrh3m
twentieth-ce,twentieth century of the common era (AD 1900 - AD 1999),,AD 1900,AD 1999,
modern-middle-east,Modern Middle East (AD 1918–2000) (AD 1918 - AD 2000),"ME [[1918, 2000]]",AD 1918,AD 2000,http://n2t.net/ark:/99152/p03wskds7zt
twenty-first-ce,twenty-first century of the common era (AD 2000 - AD 2099),,AD 2000,AD 2099,
